id,name,purposes,legIntPurposes,flexiblePurposes,specialPurposes,features,specialFeatures,cookieMaxAgeSeconds,usesCookies,cookieRefresh,usesNonCookieAccess,dataRetention,urls,dataDeclaration,deviceStorageDisclosureUrl,overflow,deletedDate
1,"Exponential Interactive, Inc d/b/a VDX.tv","[1, 2, 3, 4, 7, 8, 9, 10]",[],"[2, 7, 8, 9, 10]","[1, 2]","[1, 2, 3]",[],7776000.0,True,True,False,"{'stdRetention': 397, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://vdx.tv/privacy/', 'legIntClaim': 'https://cdnx.exponential.com/wp-content/uploads/2018/04/Balancing-Assessment-for-Legitimate-Interest-Publishers-v2.pdf'}]","[1, 3, 4, 6, 8, 10, 11]",https://vdxtv.expo.workers.dev,,
2,Captify Technologies Limited,"[1, 2, 3, 4, 7, 9, 10]",[],[],"[1, 2]",[2],[2],31536000.0,True,True,True,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.captifytechnologies.com/privacy-notice/', 'legIntClaim': 'https://www.captifytechnologies.com/privacy-notice/'}]","[1, 2, 4, 6, 11]",https://static.cpx.to/gvl/deviceStorageDisclosure.json,,
4,Roq.ad GmbH,"[1, 2, 3, 4, 7, 9, 10]",[],[],[],"[1, 2, 3]",[1],31536000.0,True,True,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.roq.ad/privacy-policy-roqad/'}]","[1, 2, 3, 4, 5, 6, 8, 9, 11]",https://roqad-public.s3.eu-central-1.amazonaws.com/tcf-disclosure.json,,
6,AdSpirit GmbH,"[1, 2, 3, 4, 7, 9]",[],[],"[1, 2]",[3],[],2592000.0,True,True,False,"{'stdRetention': 60, 'purposes': {'2': 14, '7': 14}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://help.adspirit.de/privacy.php', 'legIntClaim': 'https://help.adspirit.de/privacy.php'}, {'langId': 'de', 'privacy': 'https://help.adspirit.de/privacy.php', 'legIntClaim': 'https://help.adspirit.de/privacy.php'}]","[1, 2, 3, 4, 6, 8, 10, 11]",https://help.adspirit.de/deviceStorage.json,{'httpGetLimit': 32},
8,Emerse Sverige AB,"[1, 3, 4]","[2, 7, 8, 9]","[2, 9]","[1, 2]","[1, 2]",[],2592000.0,True,False,False,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.emerse.com/privacy-policy/', 'legIntClaim': 'https://www.emerse.com/privacy-policy/'}]","[1, 2, 6, 8, 11]",https://s3.eu-west-1.amazonaws.com/cors.emerse.com/gdpr-tcf.json,,
9,AdMaxim Limited,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],[],[],[1],[],2592000.0,True,True,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'http://www.admaxim.com/admaxim-privacy-policy/'}]","[1, 4, 6]",https://designmaxim.com/tcf.json,,
10,Index Exchange Inc. ,"[1, 2, 7]",[10],"[2, 7]","[1, 2]","[1, 3]",[1],34128000.0,True,True,True,"{'purposes': {'2': 90, '7': 90, '10': 30}, 'specialPurposes': {'1': 0, '2': 0}}","[{'langId': 'en', 'privacy': 'https://www.indexexchange.com/privacy', 'legIntClaim': 'https://www.indexexchange.com/privacy/exchange-platform-privacy-policy/#section-3'}]","[1, 2, 3, 8, 9, 11]",https://cdn.indexexchange.com/device_storage_disclosure.json,,
11,Quantcast,"[1, 3, 4]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]","[1, 2, 3]",[],34214400.0,True,True,True,"{'stdRetention': 395, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.quantcast.com/privacy', 'legIntClaim': 'https://www.quantcast.com/privacy'}]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",https://www.quantcast.com/.well-known/devicestorage.json,,
12,BeeswaxIO Corporation,"[1, 2, 3, 4, 7]",[],[],"[1, 2]","[1, 3]",[1],34109999.0,True,True,True,"{'purposes': {'2': 30, '3': 0, '4': 0, '7': 4320}, 'specialPurposes': {'1': 392, '2': 4320}}","[{'langId': 'en', 'privacy': 'https://www.beeswax.com/privacy/', 'legIntClaim': 'https://www.beeswax.com/privacy/'}]","[1, 2, 3, 4, 6, 8, 9, 11]",https://beeswax.com/devicedisclosure.json,,
13,"Sovrn, Inc.","[1, 2, 3, 5, 7, 9, 10]",[],[],"[1, 2]","[1, 2, 3]",[],31536000.0,True,True,True,"{'stdRetention': 180, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.sovrn.com/privacy-policy/', 'legIntClaim': 'https://www.sovrn.com/privacy-policy/'}]","[1, 2, 6, 8, 10, 11]",https://www.sovrn.com/legal/tcf-disclosure/,,
